🟣	RS	    8566	    86	2025-11-12	sigoden/aichat	All-in-one LLM CLI tool featuring Shell Assistant, Chat-REPL, RAG, AI Tools & Agents, with access to OpenAI, Claude, Gemini, Ollama, Groq, and more.
🟣	RS	   12247	   129	2025-11-12	ClementTsang/bottom	Yet another cross-platform graphical process/system monitor.
🟣	RS	   24367	   172	2025-11-12	chroma-core/chroma	Open-source search and retrieval database for AI applications.
🟣	RS	    1735	   342	2025-11-12	supabase/etl	Stream your Postgres data anywhere in real-time. Simple Rust building blocks for change data capture (CDC) pipelines.
🟣	RS	    6173	   324	2025-11-12	librespot-org/librespot	Open Source Spotify client library
🟣	RS	   20588	    49	2025-11-12	rust-lang/mdBook	Create book from markdown files. Like Gitbook but implemented in Rust
🟣	RS	   36050	   118	2025-11-12	pola-rs/polars	Extremely fast Query Engine for DataFrames, written in Rust
🟣	RS	   15989	   254	2025-11-12	ratatui/ratatui	A Rust crate for cooking up terminal user interfaces (TUIs) 👨‍🍳🐀 https://ratatui.rs
🟣	RS	    5124	    26	2025-11-12	paradigmxyz/reth	Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust
🟣	RS	   10135	    76	2025-11-12	serde-rs/serde	Serialization framework for Rust
🟣	RS	    3396	    41	2025-11-12	linebender/vello	A GPU compute-centric 2D renderer.
🟣	GO	   38262	  1428	2025-11-12	mudler/LocalAI	🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference
🟣	GO	    5551	    68	2025-11-12	docker/cli	The Docker CLI
🟣	GO	   19569	    48	2025-11-12	containerd/containerd	An open and reliable container runtime
🟣	GO	   11038	    53	2025-11-12	crossplane/crossplane	The Cloud Native Control Plane
🟣	GO	    1377	   212	2025-11-12	OpenCSGs/csghub-server	csghub-server is the backend server for CSGHub which helps user to manage datasets, modes, and also run Model Inference, Finetune and Application Spaces.
🟣	GO	    3767	   468	2025-11-12	ayn2op/discordo	A lightweight, secure, and feature-rich Discord terminal (TUI) client.
🟣	GO	    7243	    20	2025-11-12	cilium/ebpf	ebpf-go is a pure-Go library to read, modify and load eBPF programs and attach them to various hooks in the Linux kernel.
🟣	GO	    1719	   324	2025-11-12	mudler/edgevpn	⛵ The immutable, decentralized, statically built p2p VPN without any central server and automatic discovery! Create decentralized introspectable tunnels over p2p with shared tokens
🟣	GO	    6092	    79	2025-11-12	external-secrets/external-secrets	External Secrets Operator reads information from a third-party service like AWS Secrets Manager and automatically injects the values as Kubernetes Secrets.
🟣	GO	   29573	   439	2025-11-12	glanceapp/glance	A self-hosted dashboard that puts all your feeds in one place
🟣	GO	   18969	   599	2025-11-12	lima-vm/lima	Linux virtual machines, with a focus on running containers
🟣	GO	   71057	   112	2025-11-12	moby/moby	The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
🟣	GO	   17380	   142	2025-11-12	navidrome/navidrome	🎧☁️ Your Personal Streaming Service
🟣	GO	    3641	  1073	2025-11-12	opencloud-eu/opencloud	🌤️This is the main repository of the OpenCloud server. It contains the golang codebase for the backend services.
🟣	GO	   12781	    45	2025-11-12	opencontainers/runc	CLI tool for spawning and running containers according to the OCI specification
🟣	GO	    5845	   114	2025-11-12	alireza0/s-ui	An advanced Web Panel • Built for SagerNet/Sing-Box
🟣	PY	   10139	  1054	2025-11-12	HKUDS/DeepCode	"DeepCode: Open Agentic Coding (Paper2Code & Text2Web & Text2Backend)"
🟣	PY	    4284	   781	2025-11-12	yichuan-w/LEANN	RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.
🟣	PY	    2378	   394	2025-11-12	lzhoang2801/OpCore-Simplify	A tool designed to simplify the creation of OpenCore EFI
🟣	PY	   26600	   414	2025-11-12	AtsushiSakai/PythonRobotics	Python sample codes and textbook for robotics algorithms.
🟣	PY	   14885	   555	2025-11-12	google/adk-python	An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.
